District,Location
AMRITSAR,Ajnala
AMRITSAR,Amritsar
AMRITSAR,Amritsar-D
AMRITSAR,Amritsar-M
AMRITSAR,Amritsar-S
AMRITSAR,Bajwa-Pz
AMRITSAR,Bal Kalan-Pz
AMRITSAR,Beas07
AMRITSAR,Bhattaywad-Pz
AMRITSAR,Bhindi Saidan
AMRITSAR,Bhindi Saidan-D
AMRITSAR,Bhindi Saidan-M
AMRITSAR,Bholewal-Pz
AMRITSAR,Boparai Khurd-Pz
AMRITSAR,Chak Dogra-Pz
AMRITSAR,ChogWan- Pz
AMRITSAR,Chogawan1
AMRITSAR,Dhulika-Pz
AMRITSAR,Gill wali-Pz
AMRITSAR,Jandiala Guru-Pz
AMRITSAR,Jethuwal-Pz
AMRITSAR,Kandowali-Pz
AMRITSAR,Karyal-Pz
AMRITSAR,Mahima-Pz
AMRITSAR,Majitha-Pz
AMRITSAR,Mehleykey-Pz
AMRITSAR,Mehta-Pz
AMRITSAR,Miran Chak-Pz
AMRITSAR,Nangal Sahaul-Pz
AMRITSAR,Nawan Tanal- Pz
AMRITSAR,Pakharpura-Pz
AMRITSAR,Ramdas-DW
AMRITSAR,Rayya-Pz
AMRITSAR,Rupowal Brahmana-Pz
AMRITSAR,Sarangra-Pz
AMRITSAR,Saroya Bagh-Pz-D
AMRITSAR,Sathiala-Pz
AMRITSAR,Shabura-Pz
AMRITSAR,Sham Nagar-Pz
AMRITSAR,Tarsika-Pz
AMRITSAR,Ugar Aulakh-Pz
AMRITSAR,Urdhan-Pz-D
AMRITSAR,Urdhan-Pz-M
AMRITSAR,Urdhan-Pz-S
AMRITSAR,Vadala Kalan-Pz
AMRITSAR,Vadala Viran-Pz
AMRITSAR,Verka-Pz
AMRITSAR,Wachhoya-Pz
AMRITSAR,Wandala Bittewad-Pz
BARNALA,Amla Singh Wala-PZ
BARNALA,Barnala (m)
BARNALA,Barnala (s)
BARNALA,Bhadaur-Pz
BARNALA,Daula-Pz
BARNALA,Dhanaula-Pz
BARNALA,Diwana-Pz
BARNALA,Kurar-Pz
BARNALA,Lohgarh-Pz
BARNALA,Mahal Kalan-Pz
BARNALA,Pakho Ke-Pz
BARNALA,Patti Dwarka-Pz
BARNALA,Raisar-Pz
BARNALA,Shekha
BARNALA,Sherpur
BARNALA,Tappa Mandi-Pz
BATHINDA,Ablu
BATHINDA,Aleke Jalal-Pz
BATHINDA,Badiala-Pz
BATHINDA,Bagher Mohabat Singh-Pz
BATHINDA,Bahman Kaur Singh-D
BATHINDA,Bahman Kaur Singh-M
BATHINDA,Bahman Kaur Singh-Pz
BATHINDA,Bahman Kaur Singh-S
BATHINDA,Balianwali-Pz
BATHINDA,Balluana-Pz
BATHINDA,Balluana1
BATHINDA,Bandi-Pz
BATHINDA,Bhagibandar
BATHINDA,Bhagta Bhaike-Pz
BATHINDA,Bhatinda Cantt
BATHINDA,Bugran-Pz
BATHINDA,Burj Gill-Pz
BATHINDA,Burj-Pz
BATHINDA,Deratapp
BATHINDA,Dhapali-Pz
BATHINDA,Dhapali1
BATHINDA,Dialpur Mirza
BATHINDA,Dialpura Bhlaike
BATHINDA,Dialpura- Mirza
BATHINDA,Dulle Wala-Pz
BATHINDA,Ganga-Pz
BATHINDA,Ghudda-Pz
BATHINDA,Gill Patti-DW
BATHINDA,Gobind Pura-Pz
BATHINDA,Gulabgarh 1 (vs)
BATHINDA,Gulabgarh 2 (s)
BATHINDA,Gulabgarh 3 (m)
BATHINDA,Guru Sar-Pz
BATHINDA,Gurusar
BATHINDA,Harraipur-Pz
BATHINDA,Jajjal
BATHINDA,Jajjal_DW
BATHINDA,Jassi Bhagwali
BATHINDA,Jhanduke
BATHINDA,Jhanduke-Pz
BATHINDA,Kalayan Sukha-S
BATHINDA,Kalyan Sukha
BATHINDA,Kalyan Sukha-M
BATHINDA,Kheliwala (d)
BATHINDA,Koir Singh Wala-Pz
BATHINDA,Kot Bhaktu-Pz
BATHINDA,Kot Fatta-DW
BATHINDA,Kot Guru
BATHINDA,Kot Shamir
BATHINDA,Kothaguru-Pz
BATHINDA,Lalliana-Pz
BATHINDA,Lehra Dhulkot-Pz
BATHINDA,Maihma Bhagwan-PZ
BATHINDA,Maisar Khana
BATHINDA,Maisar Khana-Pz
BATHINDA,Maluka-Pz
BATHINDA,Mandi Kalan-Pz
